degree distribution (degree-occurrences)
7.42439	0.1349
9.44614	0.0817
11.433	0.05705
13.883	0.0404667
16.919	0.0242667
20.3502	0.017775
25	0.0125
30.3838	0.00825
37.2336	0.00535
45.8528	0.00362222

--------------------------------------
community distribution (size-occurrences)
7  30
8  40
9  21
10  20
11  24
12  18
13  14
14  15
15  23
16  16
17  18
18  7
19  19
20  9
21  4
22  10
23  12
24  7
25  9
26  6
27  11
28  1
29  10
30  12
31  6
32  6
33  5
34  7
35  6
36  7
37  7
38  5
39  5
40  6
41  8
42  6
43  4
44  5
45  5
46  4
47  5
48  6
49  4
50  5
54  1

--------------------------------------
mixing parameter
0.0894783	0.0046
0.136477	0.1951
0.194546	0.4871
0.23743	0.2452
0.285874	0.0601
0.3619	0.0024
0.428571	0.0005
