1	343
1	3072
1	3539
1	4298
1	6697
1	7416
1	8586
1	9441
2	258
2	1364
2	2549
2	5309
2	5522
2	6307
2	7408
2	7479
2	8685
2	9242
2	9583
3	209
3	253
3	928
3	1163
3	2322
3	3236
3	5893
3	7707
4	2348
4	2800
4	3549
4	4704
4	6833
4	9163
4	9806
4	9871
5	117
5	336
5	1059
5	1750
5	5513
5	6956
5	7238
5	9684
6	333
6	688
6	2284
6	2557
6	3927
6	5869
6	7725
7	102
7	1044
7	6447
7	6554
7	7223
7	7635
7	8038
7	8233
7	8263
8	413
8	699
8	1300
8	1369
8	2514
8	3462
8	3679
8	3855
8	4210
8	4221
8	7063
8	7603
8	7971
8	8109
8	8837
8	9844
9	1407
9	2071
9	2129
9	2500
9	4756
9	6154
9	6253
9	6656
9	8641
9	8936
10	28
10	965
10	2370
10	2441
10	3239
10	3666
10	4804
10	4852
10	5129
10	6413
10	7228
10	8139
10	8504
10	8528
10	8866
11	438
11	816
11	1177
11	1327
11	1512
11	1574
11	2727
11	3769
11	3782
11	4207
11	6352
11	6841
11	8104
11	8649
11	9016
11	9564
12	1434
12	1633
12	2640
12	2675
12	3192
12	3240
12	4666
12	5684
12	5879
12	6054
12	6217
12	6648
12	6724
12	7644
12	8628
13	621
13	634
13	1348
13	4236
13	4996
13	7972
13	8057
13	8149
14	946
14	1988
14	2223
14	2337
14	2890
14	3699
14	3946
14	3986
14	4825
14	5107
14	5409
14	5645
14	6429
14	6619
14	7312
14	7522
14	7576
14	7642
14	8320
14	9046
14	9131
15	621
15	693
15	927
15	1860
15	2219
15	2247
15	2386
15	2608
15	2803
15	2898
15	3670
15	4870
15	5229
15	5241
15	5603
15	5817
15	6010
15	6396
15	6450
15	7290
15	7610
15	7628
15	7855
15	8000
15	8062
15	8296
15	8380
15	8396
15	8457
15	9278
15	9972
16	165
16	223
16	315
16	448
16	680
16	1767
16	1782
16	2026
16	2685
16	3463
16	3491
16	3508
16	3751
16	3984
16	4072
16	4248
16	4308
16	4581
16	4977
16	5224
16	5497
16	5847
16	5930
16	5965
16	6094
16	6469
16	6631
16	6835
16	7105
16	7317
16	7532
16	7610
16	8001
16	8553
16	8924
16	9324
16	9399
17	2151
17	3787
17	4487
17	7652
17	7908
17	8620
17	8811
17	8884
18	1632
18	2110
18	5223
18	7301
18	7726
18	7817
18	8424
18	8982
19	1766
19	2568
19	4151
19	4331
19	4412
19	4665
19	4920
19	5498
19	6375
19	7239
19	8455
19	9025
19	9160
19	9555
19	9600
19	9655
20	343
20	2042
