2280,8458
14560,4481
4888,14210
12316,9709
8196,8926
2330,3026
3392,7228
2065,11452
11783,5553
839,15276
1037,6487
275,4914
7910,10886
1352,11300
5888,9754
9829,15131
5217,8547
13108,4167
10650,7299
14741,4938
2710,8096
7394,12029
14906,9857
15152,4706
2989,11361
11539,2383
5051,6300
8020,11090
16725,4476
184,8670
16329,1767
16482,4847
4327,9242
9319,9902
14066,9817
15141,8956
3497,6204
13149,7290
2115,13532
5576,16738
6811,14241
7458,13451
3294,7113
8421,10774
4207,5841
604,10695
7137,8446
866,1050
4996,7972
11169,5054
16329,1782
3598,11819
10854,2230
13623,2552
12922,8926
798,15353
8620,8792
6839,7022
14299,3071
12316,9754
1076,11362
14448,9145
5093,15520
1471,9111
10650,7253
11316,50
10079,8067
4800,5140
12653,1680
1481,5235
528,1629
14358,7687
10967,2340
13110,8848
15588,27
2132,4573
10715,6416
14593,4879
3907,15157
13305,5328
7080,13824
9767,14908
2132,4565
3839,4914
4577,4684
2800,9352
4224,10170
1083,2093
583,2159
5907,8202
14310,9656
2641,6944
2899,7473
5990,8325
2499,16975
10451,455
6980,7075
6633,8923
1565,4194
4902,6867
16093,5964
6301,13748
6464,7572
3634,7807
14638,6709
7951,11885
12868,9211
15105,2057
4829,5927
13101,8423
15621,8489
1561,12388
10683,1239
2044,4305
3511,12673
7030,16670
11070,9240
1671,2127
472,4253
5519,12523
15464,32
1933,7569
4934,6532
237,6861
11115,5757
1105,5587
14593,4870
8898,13479
4883,13085
3292,9718
13300,1792
13411,2216
6495,7702
4934,6546
12737,3494
5691,5800
3012,7586
3952,7268
12286,3499
4298,4983
1169,3259
13904,1681
528,1647
3580,6639
10245,5184
12650,6955
20,8725
3811,7324
3629,16531
3178,9098
7654,16064
1860,9278
16204,9319
14306,9404
15880,4522
18,7817
13225,9300
6902,12344
124,13587
4140,13536
4990,7808
1596,2441
3261,13302
16787,8224
14879,4674
4769,8507
340,7878
7944,16682
12186,6723
824,13430
1233,14232
14610,11
4410,11426
925,14454
2291,15150
16222,1366
9824,10327
6473,10097
2067,5489
8557,16428
12407,4310
7978,12772
5888,9709
13223,4573
15302,352
1456,16604
2695,12766
14871,5827
12571,8936
15318,2459
211,5030
14584,6337
11412,7927
2137,14923
2635,13570
2199,9691
1180,8155
93,5370
3920,15331
8663,10707
306,8466
2989,11380
5868,7631
9149,10972
13256,1645
5442,6878
8338,12634
11728,6933
760,2473
9078,9225
4530,7580
2048,15230
6374,10465
9741,9909
6116,10889
5137,7119
4477,13725
6078,7337
1052,12841
157,10766
14430,5201
4289,9189
3757,4314
13262,7121
5801,16562
3152,13265
4412,8011
8780,12502
5103,16245
5347,9119
5755,12146
6486,14013
6202,8961
2033,4133
4236,10728
12334,3194
11650,6183
14853,3844
10748,3926
7564,8689
2599,12340
1713,13443
6127,13193
14949,965
10169,8298
5211,15463
2869,7098
15794,8327
10679,5325
8651,10529
2653,6419
6405,12368
6024,6239
12,11375
12334,3169
9015,11641
9987,12351
13144,5835
14604,6356
8478,14979
7219,10759
12602,9237
5045,5337
3632,12167
9719,15607
4988,14405
8314,16254
968,16859
10914,7905
5383,10845
10177,3020
9740,16302
9151,11791
10592,5312
445,5320
985,7088
2150,3000
1265,8823
13435,2042
15949,7008
13154,5528
13816,2406
4704,6463
9227,15732
6892,14891
16880,923
10737,5506
11883,3895
16219,7848
12407,4273
4214,5795
46,3802
14033,9130
6781,13112
5674,9340
3460,11722
13076,9819
2012,7116
6420,7974
1809,13296
5315,15889
8655,9170
16069,334
9708,11707
2199,9605
5148,12310
14918,3975
16860,4688
4577,10670
11593,8298
16243,1958
1896,4164
4428,7442
32,9898
11654,8786
14485,3458
5601,10179
4553,8337
2291,15221
12490,5267
14283,2357
1730,3229
1870,14523
6902,12280
14375,8819
15044,5918
7437,12615
1870,14529
8620,8884
3947,6175
12183,836
3333,13345
15140,7139
10083,7888
2447,3543
14053,1631
7844,15335
180,4731
2030,13077
1331,5997
6671,8090
2367,6001
12183,849
3666,8528
7261,7540
2922,3568
8679,9118
1401,11433
8421,10820
16305,6893
2653,6461
15006,4001
2618,8719
2922,3538
6487,13423
15747,1965
839,7091
121,10589
12659,820
4513,4647
2771,3531
9562,10536
6665,8165
4993,11474
1829,2243
3989,13855
